image_name,manual_dice,manual_hd95,assisted_dice,assisted_hd95
0_2.png,0.950753,13.8924,0.964734,11.0000
1000_2.png,0.905513,6.7082,0.920310,5.8901
1001_2.png,0.874141,15.5242,0.895572,13.6306
12.jpg,0.892204,13.9923,0.944312,6.3246
13.jpg,0.896699,17.5154,0.933237,10.8533
14.jpg,0.831698,17.9823,0.935166,5.0000
1_2.png,0.891490,34.2429,0.967744,9.0554
2.jpg,0.893507,29.0000,0.864292,38.4187
3.jpg,0.775106,19.0105,0.841213,16.9706
6.jpg,0.921513,12.2066,0.982057,3.0000
PKTN_train_Img_101.jpg,0.957399,5.0000,0.948862,4.2426
PKTN_train_Img_113.jpg,0.927078,13.2473,0.923193,11.3533
PKTN_train_Img_116.jpg,0.885898,21.0950,0.927745,14.9062
PKTN_train_Img_135.jpg,0.934100,12.0312,0.948294,7.2801
PKTN_train_Img_38.jpg,0.521451,65.1981,0.532811,66.2812
TN3K_test_0000.jpg,0.826554,13.4164,0.871581,9.2195
TN3K_test_0001.jpg,0.932659,17.0294,0.936309,16.4924
TN3K_test_0006.jpg,0.950546,7.0711,0.926308,10.8167
TN3K_test_0008.jpg,0.934205,13.0230,0.954235,4.4721
TN3K_test_0011.jpg,0.857169,24.0427,0.942707,11.5704
TN5K_test_000060.jpg,0.927007,17.4642,0.918592,22.2258
TN5K_test_000093.jpg,0.870273,11.6619,0.866582,14.0047
TN5K_test_000153.jpg,0.946456,9.1949,0.906246,15.8114
TN5K_test_000154.jpg,0.949776,7.6158,0.963655,5.8310
TN5K_test_000174.jpg,0.879832,30.3363,0.931093,10.7703
ThyroidXL_test_00000647_ABA708BB_0.png,0.899031,25.3534,0.912436,20.4400
ThyroidXL_test_00000685_C57696D3_0.png,0.888426,30.3767,0.804316,36.6571
ThyroidXL_test_00000692_5EB6B130_0.png,0.637899,30.0000,0.853431,24.4131
ThyroidXL_test_00000692_EEF49AA3_1.png,0.920131,9.2596,0.815421,21.0238
ThyroidXL_test_00000694_4B570B44_0.png,0.882179,27.1475,0.955578,10.4403
